label,vx,az,cmd_l_mps,cmd_r_mps,cmd_l_rpm,cmd_r_rpm,actual_m1_rpm,actual_m2_rpm,first_motion_m1_s,first_motion_m2_s
A v=-0.02,-0.02,0.0,-0.02,-0.02,-3.819223424570338,-3.819223424570338,-2.905041136911937,-2.892777669997442,0.17047033100061526,0.17047033100061526
A v=-0.03,-0.03,0.0,-0.03,-0.03,-5.728835136855507,-5.728835136855507,-3.5057468925203596,-2.679151109286717,0.2863668930003769,0.2863668930003769
A v=-0.04,-0.04,0.0,-0.04,-0.04,-7.638446849140676,-7.638446849140676,-3.990552612713405,-5.214311843826657,0.29899807299989334,0.29899807299989334
A v=-0.05,-0.05,0.0,-0.05,-0.05,-9.548058561425844,-9.548058561425844,-6.300573392347856,-6.393119616941973,0.2861040489988227,0.2861040489988227
A v=-0.06,-0.06,0.0,-0.06,-0.06,-11.457670273711013,-11.457670273711013,-7.043673417784951,-6.76510576768355,0.4199264809994929,0.29386050699940824
A v=-0.08,-0.08,0.0,-0.08,-0.08,-15.276893698281352,-15.276893698281352,-8.087072315670195,-7.648755470911662,0.24401564499930828,0.3999853320001421
A v=-0.10,-0.1,0.0,-0.1,-0.1,-19.096117122851687,-19.096117122851687,-9.94264827455793,-9.734268733433314,0.20933122699898377,0.3691462890001276
A v=-0.12,-0.12,0.0,-0.12,-0.12,-22.915340547422026,-22.915340547422026,-16.287798745291575,-16.941338629949662,0.2509778029998415,0.2509778029998415
B v=-0.06 az=+0.10,-0.06,0.1,-0.07775,-0.042249999999999996,-14.847231063017187,-8.068109484404838,-6.804878609521048,-6.388935736247471,0.38190896199921553,0.38190896199921553
B v=-0.06 az=-0.10,-0.06,-0.1,-0.042249999999999996,-0.07775,-8.068109484404838,-14.847231063017187,-5.447262627737863,-6.509193965366909,0.33958176099986304,0.33958176099986304
B v=-0.08 az=+0.15,-0.08,0.15,-0.106625,-0.053375000000000006,-20.361234882240613,-10.19255251432209,-7.1008616577495225,-6.241174047643488,0.2510014459985541,0.2510014459985541
B v=-0.08 az=-0.15,-0.08,-0.15,-0.053375000000000006,-0.106625,-10.19255251432209,-20.361234882240613,-7.281418594447049,-8.513477487997575,0.2850099129991577,0.2850099129991577
B v=-0.10 az=+0.20,-0.1,0.2,-0.1355,-0.0645,-25.87523870146404,-12.316995544239338,-16.96302232288179,-13.507506733848935,0.37156632199912565,0.37156632199912565
B v=-0.10 az=-0.20,-0.1,-0.2,-0.0645,-0.1355,-12.316995544239338,-25.87523870146404,-10.155507723490397,-13.506434077308292,0.20411824400071055,0.32695305600100255
B v=-0.12 az=+0.22,-0.12,0.22,-0.15905,-0.08095,-30.37237428389561,-15.45830681094844,-23.477683748517716,-17.547983850751603,0.28722021899920946,0.28722021899920946
B v=-0.12 az=-0.22,-0.12,-0.22,-0.08095,-0.15905,-15.45830681094844,-30.37237428389561,-15.3903470472856,-20.13305208899758,0.24089841499881004,0.24089841499881004
