label,start_range,start_lat,start_skew,start_conf,segments,result,contact,end_range,end_lat,end_skew,seconds,params
T2 nominal,1.012158751487732,-0.028186289593577385,-0.005105424672365189,0.9401170015335083,4,ABORT,0,0.19842258095741272,0.07699888944625854,0.2121817171573639,26,-p seg_rpm:=16
T3 short-seg close-commit,0.946804404258728,-0.05128106102347374,-0.01285313256084919,0.9396753907203674,3,ABORT,0,0.9448847770690918,-0.04637957364320755,-0.01291750930249691,7,-p seg_rpm:=16
T4 cold-start + escalation,0.9454572200775146,-0.047372184693813324,-0.0094186682254076,0.9428049325942993,7,ABORT,0,0.30893176794052124,-0.04575105756521225,-0.05689558386802673,25,-p seg_rpm:=16
T5 seg_rpm 25,0.9420312643051147,-0.02960495837032795,-0.003917354624718428,0.9313408732414246,4,ABORT,0,0.25683486461639404,0.0037981709465384483,0.039540670812129974,22,-p seg_rpm:=25
T6 seg25 + commit-gate fix,1.063773274421692,-0.11737121641635895,0.01279414165765047,0.9476017951965332,9,SEATED,1,0.19053076207637787,-0.0007129698060452938,-0.03881523758172989,36,
T7 backoff-retry,1.014459252357483,0.02473555877804756,-0.0011317693861201406,0.9358003735542297,5,SEATED,3,0.18528828024864197,-0.006579061970114708,-0.00828103069216013,16,
T8 offset + random caster,1.1367464065551758,-0.27412715554237366,0.01725083217024803,0.9289935231208801,6,ABORT,0,0.23509064316749573,0.009231090545654297,-0.025029178708791733,31,
T9 offset + backoff routing fix,1.0502666234970093,-0.5006273984909058,0.05324358120560646,0.9474230408668518,14,ABORT,0,0.21988989412784576,-0.03365703299641609,0.09655900299549103,58,
T10 no-rails + pose control,0.9954239726066589,-0.024121984839439392,0.03019833005964756,0.9401730298995972,5,ABORT,0,0.1956246942281723,-0.03502730280160904,-0.0770333781838417,24,-p max_nudges:=3
T11 rails back + pose control,1.1202040910720825,0.2947942316532135,0.015381494536995888,0.9423899054527283,10,SEATED,3,0.19563105702400208,-0.005355535075068474,0.01250706147402525,32,
